name,id
Алтай,4554
Агинский Бурятский автономный округ,4552
Брянская,4562
Башкортостан,4560
Архангельская,4557
Волгоградская,4565
Еврейская,4569
Астраханская,4558
Белгородская,4561
Ивановская,4570
Иркутская,4572
Амурская,4556
Калужская,4576
Адыгея,4553
Воронежская,4567
Калининградская,4574
Бурятия,4563
Кировская,4581
Вологодская,4566
Коми,4582
Владимирская,4564
Ингушетия,4571
Кемеровская,4580
Липецкая,4589
Красноярский,4585
Мурманская,4594
Магаданская,4590
Костромская,4583
Краснодарский,4584
Ненецкий,4595
Алтайский,4555
Псковская,4605
Марий Эл,4591
Пермский,4603
Орловская,4601
Пензенская,4602
Ростовская,4606
Рязанская,4607
Саратовская,4609
Ставропольский,4615
Сахалинская,4611
Мордовия,4592
Северная Осетия - Алания,4613
Тыва,4622
Оренбургская,4600
Тверская,4619
Саха (Якутия),4610
Свердловская,4612
Тюменская,4623
Усть-Ордынский Бурятский автономный округ,4626
Таймырский (Долгано-Ненецкий) автономный округ,4616
Ульяновская,4625
Тульская,4621
Смоленская,4614
Ханты-Мансийский,4629
Тамбовская,4617
Татарстан,4618
Чеченская,4631
Читинская область,4632
Томская,4620
Адыгейск,4640
Ямало-Ненецкий,4635
Чувашская,4633
Удмуртская,4624
Челябинская,4630
Агидель,4639
Хабаровский,4627
Ак-Довурак,4641
Чукотский,4634
Апатиты,4651
"Республика Башкортостан, Амзинский с/с",4646
Арзамас,4653
Анадырь,4648
Хакасия,4628
Александровск,4645
Ангарск,4649
Алапаевск,4642
Алатырь,4643
Аргун,4652
Артем,4656
Ачинск,4662
Амурск,4647
Балтийск,4666
Барнаул,4668
"Саратовская область, Аткарск",4661
Белогорск,4673
Березники,4677
Анжеро-Судженск,4650
Батайск,4670
Белоярский,4675
Балашов,4665
Бикин,4681
Астрахань,4660
Белово,4672
Белгород,4671
Большой Камень,4687
Арсеньев,4655
Бодайбо,4686
Бердск,4676
Братск,4689
Благовещенск,4683
Великий Новгород,4694
Буйнакск,4692
Верхний Тагил,4695
Верхняя Тура,4699
Владивосток,4701
Барыш,4669
Брянск,4691
Верхняя Салда,4698
Верхний Уфалей,4696
Бронницы,4690
Владимир,4703
Волгоград,4704
"Красноярский край, Волочанский с/с",4709
Великие Луки,4693
Волгодонск,4705
Владикавказ,4702
Воткинск,4714
Гаджиево,4716
Волгореченск,4706
Геленджик,4717
Волчанск,4710
Волжский,4707
Березовский,4679
Горячий Ключ,4721
Грозный,4723
Боготол,4685
Губкинский,4725
Горно-Алтайск,4719
Воронеж,4713
Дальнереченск,4729
Десногорск,4732
Дербент,4731
Вольск,4711
Гремячинск,4722
Добрянка,4737
Дагестанские Огни,4727
Вуктыл,4715
Донецк,4739
Долгопрудный,4738
Губаха,4724
Железногорск,4747
Дзержинский,4734
Дубна,4741
Железноводск,4746
Жуковский,4750
Донской,4740
Енисейск,4744
Звенигород,4756
Зеленогорск,4759
Дзержинск,4733
Зеленогорск,4758
Зея,4761
Знаменск,4765
Зеленоград,4760
Инта,4772
Змеиногорск,4764
Иваново,4767
Иркутск,4774
Калининград,4778
Зверево,4757
Заринск,4755
Калтан,4779
Йошкар-Ола,4776
Ирбит,4773
Каменск-Шахтинский,4782
Камышлов,4784
Казань,4777
Карпинск,4790
Ивдель,4769
Карабаш,4788
Калуга,4780
Кизилюрт,4797
Ижевск,4770
Кизляр,4798
Кинель,4799
Кировград,4801
Камень-на-Оби,4783
Каспийск,4791
Киселевск,4804
Кировск,4802
Колпино,4810
Кандалакша,4786
Карачаевск,4789
Клинцы,4807
Королев,4813
Красноармейск,4817
Краснознаменск,4822
Коломна,4809
"Красноярский край, Кедровый пгт",4794
Костомукша,4815
Красноармейск,4818
Кронштадт,4828
Красное Село,4821
Комсомольск-на-Амуре,4811
Куйбышев,4831
Коряжма,4814
Курск,4835
Кумертау,4832
Краснодар,4820
Красноуральск,4825
Лангепас,4840
Краснокамск,4823
"Красноярский край, Левинский с/с",4841
Ленинск-Кузнецкий,4842
Лесозаводск,4845
Кушва,4836
Липецк,4847
Котовск,4816
Кызыл,4837
Лесосибирск,4846
Ломоносов,4849
Маркс,4856
Магадан,4852
Кыштым,4838
Майкоп,4855
Магнитогорск,4854
Махачкала,4857
"Красноярский край, Мессояхский с/с",4863
Лысьва,4850
Мончегорск,4868
Лобня,4848
Мирный,4866
Медногорск,4860
Межгорье,4861
Кунгур,4833
